T,t2,beta,yield
-8,7,105,33.59432606861618
20,11,105,43.53005031088318
2,20,115,44.47548078459844
-8,15,105,46.44391044003689
-20,15,100,43.09765328061004
-18,8,115,40.46511560797738
16,16,115,46.69390484518699
-8,17,110,39.25994566074728
14,14,110,57.17801534743095
20,14,100,50.87038883614889
18,14,115,65.39445174673757
20,14,120,57.17797615309797
0,13,120,61.9639899850778
6,13,120,87.1092592177238
-14,5,100,31.116584179460084
-14,8,100,31.477854113310816
-14,11,100,43.09767100614585
-14,14,100,50.87040975851543
-14,17,100,32.73757761111958
10,5,100,31.35778476519789
10,5,105,31.672396164573463
10,5,110,35.24593993754502
10,5,115,40.31078176572785
10,5,120,35.24593993754502
20,20,100,31.122654266617868
20,20,105,31.434906611112872
20,20,110,34.98165483282568
20,20,115,40.0085188895171
20,20,120,34.98165483282568
20,5,100,31.1165713815962
20,5,105,31.428762696749267
20,5,110,34.97481771082469
20,5,115,40.00069927303429
20,5,120,34.97481771082469
-20,20,100,0.0
-20,20,105,0.0
-20,20,110,0.0
-20,20,115,0.0
-20,20,120,0.0
