seed,max_yield_index,done_index,max_yield
2000,65,65,99.99246091271331
2001,60,60,99.99248331149631
2002,65,65,99.99248331149631
2003,55,55,99.99248331149631
2004,75,75,99.99248331149631
2005,12,12,99.99246091271331
2006,45,45,99.99248331149631
2007,60,60,99.99246091271331
2008,55,55,99.99248331149631
2009,70,70,99.99248331149631
2010,9,9,99.99248331149631
2011,70,70,99.99248331149631
2012,55,55,99.99246091271331
2013,65,65,99.99246091271331
2014,70,70,99.99246091271331
2015,70,70,99.99248331149631
2016,40,40,99.99246091271331
2017,65,65,99.99248331149631
2018,45,45,99.99248331149631
2019,75,75,99.99246091271331
2020,75,75,99.99246091271331
2021,0,0,99.99248331149631
2022,60,60,99.99248331149631
2023,0,0,99.99248331149631
2024,65,65,99.99246091271331
2025,11,11,99.99246091271331
2026,55,55,99.99246091271331
2027,65,65,99.99246091271331
2028,75,75,99.99246091271331
2029,60,60,99.99246091271331
2030,45,45,99.99246091271331
2031,65,65,99.99246091271331
2032,70,70,99.99248331149631
2033,60,60,99.99248331149631
2034,40,40,99.99246091271331
2035,45,45,99.99248331149631
2036,95,95,99.99246091271331
2037,55,55,99.99248331149631
2038,40,40,99.99246091271331
2039,50,50,99.99246091271331
2040,35,35,99.99246091271331
2041,60,60,99.99248331149631
2042,60,60,99.99248331149631
2043,80,80,99.99248331149631
2044,75,75,99.99246091271331
2045,65,65,99.99246091271331
2046,70,70,99.99246091271331
2047,85,85,99.99248331149631
2048,60,60,99.99248331149631
2049,90,90,99.99248331149631
2050,65,65,99.99248331149631
2051,95,95,99.99246091271331
2052,45,45,99.99248331149631
2053,65,65,99.99246091271331
2054,65,65,99.99248331149631
2055,85,85,99.99248331149631
2056,55,55,99.99246091271331
2057,65,65,99.99248331149631
2058,70,70,99.99248331149631
2059,55,55,99.99248331149631
2060,65,65,99.99248331149631
2061,55,55,99.99248331149631
2062,65,65,99.99246091271331
2063,70,70,99.99246091271331
2064,70,70,99.99246091271331
2065,65,65,99.99246091271331
2066,55,55,99.99246091271331
2067,65,65,99.99248331149631
2068,65,65,99.99248331149631
2069,65,65,99.99246091271331
2070,70,70,99.99246091271331
2071,75,75,99.99246091271331
2072,60,60,99.99248331149631
2073,60,60,99.99246091271331
2074,75,75,99.99246091271331
2075,75,75,99.99248331149631
2076,80,80,99.99246091271331
2077,50,50,99.99246091271331
2078,60,60,99.99246091271331
2079,40,40,99.99248331149631
2080,75,75,99.99246091271331
2081,60,60,99.99246091271331
2082,60,60,99.99248331149631
2083,55,55,99.99246091271331
2084,0,0,99.99246091271331
2085,60,60,99.99246091271331
2086,60,60,99.99246091271331
2087,60,60,99.99246091271331
2088,75,75,99.99248331149631
2089,80,80,99.99248331149631
2090,70,70,99.99248331149631
2091,70,70,99.99248331149631
2092,55,55,99.99246091271331
2093,70,70,99.99246091271331
2094,80,80,99.99246091271331
2095,40,40,99.99246091271331
2096,60,60,99.99246091271331
2097,60,60,99.99248331149631
2098,60,60,99.99246091271331
2099,60,60,99.99248331149631
2100,55,55,99.99248331149631
2101,70,70,99.99248331149631
2102,65,65,99.99248331149631
2103,65,65,99.99246091271331
2104,65,65,99.99248331149631
2105,2,2,99.99246091271331
2106,85,85,99.99248331149631
2107,75,75,99.99246091271331
2108,13,13,99.99246091271331
2109,60,60,99.99246091271331
2110,35,35,99.99248331149631
2111,60,60,99.99246091271331
2112,65,65,99.99248331149631
2113,70,70,99.99246091271331
2114,60,60,99.99248331149631
2115,75,75,99.99248331149631
2116,70,70,99.99246091271331
2117,75,75,99.99246091271331
2118,65,65,99.99248331149631
2119,85,85,99.99248331149631
2120,50,50,99.99246091271331
2121,45,45,99.99248331149631
2122,75,75,99.99246091271331
2123,75,75,99.99246091271331
2124,60,60,99.99248331149631
2125,65,65,99.99246091271331
2126,60,60,99.99246091271331
2127,70,70,99.99248331149631
2128,70,70,99.99246091271331
2129,35,35,99.99248331149631
2130,70,70,99.99248331149631
2131,75,75,99.99246091271331
2132,80,80,99.99248331149631
2133,70,70,99.99248331149631
2134,70,70,99.99248331149631
2135,65,65,99.99248331149631
2136,55,55,99.99246091271331
2137,55,55,99.99246091271331
2138,60,60,99.99246091271331
2139,65,65,99.99246091271331
2140,65,65,99.99248331149631
2141,65,65,99.99248331149631
2142,80,80,99.99248331149631
2143,85,85,99.99248331149631
2144,70,70,99.99246091271331
2145,45,45,99.99248331149631
2146,75,75,99.99248331149631
2147,50,50,99.99246091271331
2148,75,75,99.99246091271331
2149,65,65,99.99248331149631
2150,60,60,99.99246091271331
2151,70,70,99.99246091271331
2152,65,65,99.99246091271331
2153,75,75,99.99246091271331
2154,60,60,99.99248331149631
2155,60,60,99.99246091271331
2156,65,65,99.99246091271331
2157,60,60,99.99246091271331
2158,75,75,99.99246091271331
2159,75,75,99.99246091271331
2160,60,60,99.99248331149631
2161,65,65,99.99246091271331
2162,75,75,99.99246091271331
2163,50,50,99.99248331149631
2164,70,70,99.99248331149631
2165,65,65,99.99248331149631
2166,70,70,99.99246091271331
2167,60,60,99.99246091271331
2168,65,65,99.99246091271331
2169,60,60,99.99248331149631
2170,60,60,99.99246091271331
2171,65,65,99.99246091271331
2172,80,80,99.99246091271331
2173,70,70,99.99248331149631
2174,35,35,99.99246091271331
2175,60,60,99.99248331149631
2176,60,60,99.99246091271331
2177,35,35,99.99248331149631
2178,50,50,99.99248331149631
2179,40,40,99.99248331149631
2180,65,65,99.99248331149631
2181,65,65,99.99246091271331
2182,70,70,99.99248331149631
2183,50,50,99.99246091271331
2184,75,75,99.99248331149631
2185,45,45,99.99246091271331
2186,75,75,99.99246091271331
2187,75,75,99.99246091271331
2188,60,60,99.99248331149631
2189,80,80,99.99246091271331
2190,45,45,99.99248331149631
2191,70,70,99.99248331149631
2192,60,60,99.99248331149631
2193,70,70,99.99246091271331
2194,70,70,99.99248331149631
2195,60,60,99.99246091271331
2196,60,60,99.99248331149631
2197,35,35,99.99246091271331
2198,35,35,99.99246091271331
2199,55,55,99.99248331149631
2200,60,60,99.99248331149631
2201,75,75,99.99246091271331
2202,60,60,99.99248331149631
2203,40,40,99.99246091271331
2204,40,40,99.99246091271331
2205,65,65,99.99246091271331
2206,70,70,99.99248331149631
2207,75,75,99.99246091271331
2208,80,80,99.99248331149631
2209,70,70,99.99248331149631
2210,60,60,99.99248331149631
2211,10,10,99.99248331149631
2212,60,60,99.99248331149631
2213,65,65,99.99246091271331
2214,75,75,99.99248331149631
2215,60,60,99.99246091271331
2216,45,45,99.99246091271331
2217,80,80,99.99246091271331
2218,75,75,99.99246091271331
2219,60,60,99.99246091271331
2220,75,75,99.99246091271331
2221,65,65,99.99246091271331
2222,75,75,99.99248331149631
2223,25,25,99.99246091271331
2224,40,40,99.99246091271331
2225,55,55,99.99248331149631
2226,70,70,99.99248331149631
2227,75,75,99.99248331149631
2228,60,60,99.99246091271331
2229,60,60,99.99248331149631
2230,50,50,99.99246091271331
2231,60,60,99.99248331149631
2232,70,70,99.99248331149631
2233,65,65,99.99246091271331
2234,60,60,99.99246091271331
2235,20,20,99.99248331149631
2236,75,75,99.99246091271331
2237,40,40,99.99248331149631
2238,60,60,99.99248331149631
2239,55,55,99.99248331149631
2240,65,65,99.99246091271331
2241,50,50,99.99248331149631
2242,85,85,99.99248331149631
2243,60,60,99.99248331149631
2244,70,70,99.99248331149631
2245,7,7,99.99248331149631
2246,70,70,99.99246091271331
2247,70,70,99.99246091271331
2248,55,55,99.99248331149631
2249,14,14,99.99248331149631
2250,65,65,99.99248331149631
2251,65,65,99.99246091271331
2252,65,65,99.99248331149631
2253,55,55,99.99246091271331
2254,60,60,99.99246091271331
2255,55,55,99.99248331149631
2256,75,75,99.99246091271331
2257,75,75,99.99248331149631
2258,75,75,99.99248331149631
2259,55,55,99.99248331149631
2260,70,70,99.99246091271331
2261,70,70,99.99246091271331
2262,70,70,99.99246091271331
2263,80,80,99.99246091271331
2264,55,55,99.99248331149631
2265,65,65,99.99246091271331
2266,55,55,99.99248331149631
2267,60,60,99.99248331149631
2268,70,70,99.99248331149631
2269,70,70,99.99246091271331
2270,40,40,99.99246091271331
2271,45,45,99.99248331149631
2272,5,5,99.99246091271331
2273,45,45,99.99246091271331
2274,25,25,99.99246091271331
2275,80,80,99.99246091271331
2276,60,60,99.99246091271331
2277,70,70,99.99248331149631
2278,65,65,99.99246091271331
2279,75,75,99.99248331149631
2280,55,55,99.99246091271331
2281,75,75,99.99246091271331
2282,2,2,99.99246091271331
2283,70,70,99.99246091271331
2284,65,65,99.99246091271331
2285,70,70,99.99248331149631
2286,65,65,99.99246091271331
2287,55,55,99.99248331149631
2288,85,85,99.99248331149631
2289,60,60,99.99246091271331
2290,85,85,99.99246091271331
2291,30,30,99.99248331149631
2292,10,10,99.99248331149631
2293,65,65,99.99248331149631
2294,50,50,99.99246091271331
2295,55,55,99.99248331149631
2296,75,75,99.99248331149631
2297,45,45,99.99248331149631
2298,70,70,99.99248331149631
2299,75,75,99.99246091271331
2300,1,1,99.99246091271331
2301,50,50,99.99248331149631
2302,4,4,99.99248331149631
2303,80,80,99.99246091271331
2304,75,75,99.99248331149631
2305,60,60,99.99246091271331
2306,80,80,99.99248331149631
2307,60,60,99.99246091271331
2308,85,85,99.99246091271331
2309,60,60,99.99246091271331
2310,60,60,99.99246091271331
2311,60,60,99.99248331149631
2312,70,70,99.99248331149631
2313,70,70,99.99248331149631
2314,70,70,99.99246091271331
2315,70,70,99.99248331149631
2316,55,55,99.99246091271331
2317,75,75,99.99246091271331
2318,80,80,99.99246091271331
2319,75,75,99.99248331149631
2320,60,60,99.99248331149631
2321,60,60,99.99248331149631
2322,45,45,99.99248331149631
2323,60,60,99.99248331149631
2324,50,50,99.99246091271331
2325,65,65,99.99246091271331
2326,80,80,99.99246091271331
2327,65,65,99.99248331149631
2328,70,70,99.99246091271331
2329,65,65,99.99246091271331
2330,60,60,99.99248331149631
2331,65,65,99.99246091271331
2332,65,65,99.99246091271331
2333,55,55,99.99248331149631
2334,75,75,99.99246091271331
2335,60,60,99.99248331149631
2336,70,70,99.99246091271331
2337,70,70,99.99248331149631
2338,85,85,99.99246091271331
2339,40,40,99.99246091271331
2340,55,55,99.99246091271331
2341,45,45,99.99246091271331
2342,70,70,99.99246091271331
2343,40,40,99.99246091271331
2344,45,45,99.99246091271331
2345,60,60,99.99246091271331
2346,60,60,99.99246091271331
2347,70,70,99.99246091271331
2348,70,70,99.99246091271331
2349,75,75,99.99248331149631
2350,65,65,99.99246091271331
2351,50,50,99.99246091271331
2352,70,70,99.99246091271331
2353,65,65,99.99246091271331
2354,35,35,99.99246091271331
2355,65,65,99.99246091271331
2356,2,2,99.99246091271331
2357,75,75,99.99248331149631
2358,70,70,99.99248331149631
2359,65,65,99.99248331149631
2360,50,50,99.99246091271331
2361,25,25,99.99246091271331
2362,80,80,99.99248331149631
2363,60,60,99.99246091271331
2364,60,60,99.99248331149631
2365,65,65,99.99246091271331
2366,1,1,99.99246091271331
2367,80,80,99.99248331149631
2368,75,75,99.99246091271331
2369,75,75,99.99248331149631
2370,65,65,99.99246091271331
2371,75,75,99.99246091271331
2372,70,70,99.99248331149631
2373,55,55,99.99248331149631
2374,75,75,99.99248331149631
2375,50,50,99.99248331149631
2376,35,35,99.99246091271331
2377,60,60,99.99248331149631
2378,70,70,99.99246091271331
2379,70,70,99.99248331149631
2380,65,65,99.99246091271331
2381,65,65,99.99248331149631
2382,75,75,99.99248331149631
2383,0,0,99.99246091271331
2384,75,75,99.99248331149631
2385,40,40,99.99246091271331
2386,70,70,99.99246091271331
2387,60,60,99.99248331149631
2388,80,80,99.99246091271331
2389,75,75,99.99246091271331
2390,65,65,99.99248331149631
2391,55,55,99.99246091271331
2392,65,65,99.99246091271331
2393,85,85,99.99248331149631
2394,80,80,99.99246091271331
2395,70,70,99.99246091271331
2396,8,8,99.99246091271331
2397,65,65,99.99248331149631
2398,55,55,99.99248331149631
2399,65,65,99.99248331149631
2400,70,70,99.99246091271331
2401,85,85,99.99248331149631
2402,65,65,99.99246091271331
2403,65,65,99.99246091271331
2404,75,75,99.99248331149631
2405,65,65,99.99246091271331
2406,65,65,99.99246091271331
2407,80,80,99.99246091271331
2408,50,50,99.99246091271331
2409,75,75,99.99246091271331
2410,60,60,99.99246091271331
2411,70,70,99.99248331149631
2412,55,55,99.99248331149631
2413,55,55,99.99246091271331
2414,75,75,99.99246091271331
2415,55,55,99.99246091271331
2416,75,75,99.99246091271331
2417,60,60,99.99246091271331
2418,45,45,99.99246091271331
2419,70,70,99.99246091271331
2420,60,60,99.99248331149631
2421,70,70,99.99246091271331
2422,55,55,99.99248331149631
2423,65,65,99.99248331149631
2424,70,70,99.99248331149631
2425,80,80,99.99248331149631
2426,55,55,99.99246091271331
2427,65,65,99.99248331149631
2428,70,70,99.99248331149631
2429,60,60,99.99246091271331
2430,80,80,99.99246091271331
2431,70,70,99.99248331149631
2432,60,60,99.99248331149631
2433,55,55,99.99248331149631
2434,75,75,99.99246091271331
2435,70,70,99.99248331149631
2436,80,80,99.99246091271331
2437,50,50,99.99248331149631
2438,55,55,99.99248331149631
2439,55,55,99.99248331149631
2440,30,30,99.99248331149631
2441,70,70,99.99246091271331
2442,110,110,99.99246091271331
2443,70,70,99.99248331149631
2444,65,65,99.99248331149631
2445,75,75,99.99246091271331
2446,65,65,99.99246091271331
2447,60,60,99.99246091271331
2448,50,50,99.99246091271331
2449,13,13,99.99246091271331
2450,70,70,99.99248331149631
2451,85,85,99.99246091271331
2452,50,50,99.99246091271331
2453,60,60,99.99246091271331
2454,80,80,99.99246091271331
2455,70,70,99.99246091271331
2456,75,75,99.99246091271331
2457,75,75,99.99246091271331
2458,70,70,99.99246091271331
2459,70,70,99.99248331149631
2460,60,60,99.99246091271331
2461,60,60,99.99246091271331
2462,3,3,99.99246091271331
2463,75,75,99.99246091271331
2464,70,70,99.99246091271331
2465,70,70,99.99246091271331
2466,45,45,99.99248331149631
2467,85,85,99.99248331149631
2468,65,65,99.99246091271331
2469,70,70,99.99246091271331
2470,60,60,99.99246091271331
2471,55,55,99.99246091271331
2472,65,65,99.99246091271331
2473,70,70,99.99248331149631
2474,35,35,99.99248331149631
2475,65,65,99.99248331149631
2476,55,55,99.99246091271331
2477,35,35,99.99248331149631
2478,45,45,99.99246091271331
2479,70,70,99.99248331149631
2480,40,40,99.99248331149631
2481,55,55,99.99246091271331
2482,70,70,99.99246091271331
2483,70,70,99.99248331149631
