seed,max_yield_index,done_index,max_yield
2000,24,24,99.99246091271331
2001,32,32,99.99248331149631
2002,15,15,99.99248331149631
2003,50,50,99.99248331149631
2004,16,16,99.99248331149631
2005,22,22,99.99248331149631
2006,8,8,99.99246091271331
2007,24,24,99.99248331149631
2008,27,27,99.99248331149631
2009,28,28,99.99248331149631
2010,40,-1,99.79519748069741
2011,43,43,99.99248331149631
2012,34,34,99.99248331149631
2013,41,-1,99.79519748069741
2014,26,26,99.99248331149631
2015,34,34,99.99248331149631
2016,9,9,99.99248331149631
2017,38,-1,99.79519748069741
2018,50,-1,99.795175155573
2019,43,43,99.99246091271331
2020,11,11,99.99248331149631
2021,17,17,99.99248331149631
2022,26,26,99.99248331149631
2023,33,33,99.99246091271331
2024,49,49,99.99246091271331
2025,35,-1,99.79519748069741
2026,25,-1,99.79519748069741
2027,50,50,99.99248331149631
2028,33,33,99.99248331149631
2029,50,-1,99.79519748069741
2030,33,33,99.99248331149631
2031,17,17,99.99248331149631
2032,5,5,99.99248331149631
2033,14,-1,99.79519748069741
2034,38,38,99.99248331149631
2035,35,35,99.99246091271331
2036,20,20,99.99248331149631
2037,23,23,99.99248331149631
2038,24,24,99.99248331149631
2039,28,28,99.99246091271331
2040,45,-1,99.79519748069741
2041,41,41,99.99248331149631
2042,35,35,99.99248331149631
2043,16,16,99.99246091271331
2044,18,18,99.99248331149631
2045,25,25,99.99248331149631
2046,48,48,99.99248331149631
2047,16,16,99.99248331149631
2048,9,-1,99.11379378165407
2049,17,17,99.99248331149631
2050,50,-1,99.79519748069741
2051,42,42,99.99246091271331
2052,12,12,99.99248331149631
2053,19,-1,99.79519748069741
2054,34,34,99.99246091271331
2055,11,11,99.99248331149631
2056,50,-1,99.79519748069741
2057,43,43,99.99248331149631
2058,0,0,99.99248331149631
2059,29,29,99.99246091271331
2060,50,-1,99.795175155573
2061,22,22,99.99248331149631
2062,35,35,99.99248331149631
2063,23,23,99.99248331149631
2064,21,21,99.99248331149631
2065,46,46,99.99246091271331
2066,35,35,99.99248331149631
2067,36,36,99.99248331149631
2068,42,42,99.99246091271331
2069,22,22,99.99248331149631
2070,27,27,99.99248331149631
2071,31,-1,99.79519748069741
2072,16,16,99.99248331149631
2073,35,-1,99.79519748069741
2074,48,48,99.99246091271331
2075,39,39,99.99248331149631
2076,22,22,99.99248331149631
2077,36,36,99.99248331149631
2078,50,-1,99.79519748069741
2079,11,11,99.99248331149631
2080,33,-1,99.79519748069741
2081,36,-1,98.47977431885104
2082,50,-1,99.795175155573
2083,38,38,99.99248331149631
2084,16,16,99.99248331149631
2085,18,18,99.99246091271331
2086,45,-1,99.79519748069741
2087,18,18,99.99248331149631
2088,33,33,99.99246091271331
2089,11,11,99.99248331149631
2090,28,-1,99.79519748069741
2091,11,-1,98.47977431885104
2092,40,40,99.99246091271331
2093,32,32,99.99248331149631
2094,37,37,99.99248331149631
2095,38,38,99.99248331149631
2096,32,-1,99.79519748069741
2097,33,33,99.99248331149631
2098,4,4,99.99248331149631
2099,17,17,99.99246091271331
2100,27,-1,99.79519748069741
2101,14,14,99.99248331149631
2102,22,22,99.99248331149631
2103,35,-1,99.79519748069741
2104,39,39,99.99248331149631
2105,43,43,99.99246091271331
2106,19,19,99.99248331149631
2107,39,-1,96.4949394624598
2108,11,-1,99.79519748069741
2109,18,18,99.99248331149631
2110,10,10,99.99248331149631
2111,37,37,99.99248331149631
2112,37,37,99.99248331149631
2113,9,9,99.99246091271331
2114,26,26,99.99248331149631
2115,28,28,99.99246091271331
2116,17,17,99.99248331149631
2117,50,-1,98.47977431885104
2118,31,31,99.99248331149631
2119,47,-1,99.11379378165407
2120,1,1,99.99248331149631
2121,12,12,99.99248331149631
2122,16,16,99.99246091271331
2123,45,45,99.99248331149631
2124,3,3,99.99248331149631
2125,37,37,99.99248331149631
2126,31,31,99.99248331149631
2127,3,3,99.99248331149631
2128,16,16,99.99248331149631
2129,37,37,99.99246091271331
2130,50,50,99.99246091271331
2131,27,27,99.99248331149631
2132,34,34,99.99248331149631
2133,23,23,99.99248331149631
2134,39,-1,99.795175155573
2135,50,50,99.99246091271331
2136,23,23,99.99248331149631
2137,41,41,99.99248331149631
2138,19,19,99.99248331149631
2139,9,9,99.99248331149631
2140,35,35,99.99248331149631
2141,18,18,99.99248331149631
2142,32,32,99.99248331149631
2143,46,-1,99.795175155573
2144,22,-1,99.79519748069741
2145,50,-1,99.79519748069741
2146,37,37,99.99248331149631
2147,21,21,99.99246091271331
2148,20,-1,99.79519748069741
2149,14,-1,99.79519748069741
2150,24,24,99.99248331149631
2151,9,9,99.99248331149631
2152,0,0,99.99248331149631
2153,35,35,99.99248331149631
2154,25,25,99.99248331149631
2155,16,16,99.99248331149631
2156,11,11,99.99248331149631
2157,22,22,99.99248331149631
2158,7,7,99.99248331149631
2159,49,-1,99.795175155573
2160,35,35,99.99248331149631
2161,45,45,99.99246091271331
2162,25,25,99.99248331149631
2163,11,11,99.99248331149631
2164,31,-1,99.11379378165407
2165,10,10,99.99248331149631
2166,34,34,99.99248331149631
2167,39,-1,99.5963982535343
2168,31,31,99.99246091271331
2169,42,-1,99.11381585237794
2170,23,23,99.99248331149631
2171,28,28,99.99248331149631
2172,41,41,99.99248331149631
2173,34,34,99.99248331149631
2174,41,41,99.99248331149631
2175,6,6,99.99248331149631
2176,38,38,99.99246091271331
2177,22,22,99.99248331149631
2178,34,34,99.99248331149631
2179,15,15,99.99248331149631
2180,33,33,99.99248331149631
2181,16,16,99.99246091271331
2182,38,38,99.99248331149631
2183,15,-1,99.79519748069741
2184,29,29,99.99248331149631
2185,37,37,99.99246091271331
2186,9,9,99.99248331149631
2187,49,49,99.99248331149631
2188,37,-1,99.79519748069741
2189,50,50,99.99246091271331
2190,32,32,99.99248331149631
2191,13,-1,99.79519748069741
2192,39,39,99.99248331149631
2193,25,25,99.99248331149631
2194,28,-1,99.79519748069741
2195,50,50,99.99248331149631
2196,24,24,99.99248331149631
2197,21,21,99.99248331149631
2198,34,34,99.99248331149631
2199,35,35,99.99248331149631
2200,46,46,99.99246091271331
2201,18,-1,99.11381585237794
2202,13,13,99.99246091271331
2203,43,-1,96.4949394624598
2204,34,34,99.99248331149631
2205,27,27,99.99248331149631
2206,13,-1,99.79519748069741
2207,38,38,99.99246091271331
2208,50,-1,99.79519748069741
2209,43,-1,99.79519748069741
2210,18,18,99.99248331149631
2211,46,-1,99.79519748069741
2212,39,39,99.99246091271331
2213,37,37,99.99246091271331
2214,25,25,99.99246091271331
2215,16,16,99.99248331149631
2216,41,41,99.99248331149631
2217,14,14,99.99248331149631
2218,33,-1,99.795175155573
2219,32,32,99.99248331149631
2220,9,9,99.99248331149631
2221,47,47,99.99248331149631
2222,39,39,99.99248331149631
2223,29,29,99.99248331149631
2224,36,36,99.99248331149631
2225,39,39,99.99248331149631
2226,26,-1,99.79519748069741
2227,23,23,99.99248331149631
2228,34,34,99.99248331149631
2229,13,13,99.99248331149631
2230,19,19,99.99248331149631
2231,25,25,99.99248331149631
2232,30,30,99.99248331149631
2233,39,39,99.99248331149631
2234,25,25,99.99248331149631
2235,35,35,99.99248331149631
2236,33,-1,96.4949394624598
2237,41,-1,99.11381585237794
2238,17,17,99.99248331149631
2239,19,19,99.99248331149631
2240,18,18,99.99246091271331
2241,26,26,99.99248331149631
2242,3,3,99.99248331149631
2243,37,37,99.99248331149631
2244,19,19,99.99248331149631
2245,36,-1,99.79519748069741
2246,41,41,99.99246091271331
2247,42,42,99.99246091271331
2248,31,31,99.99248331149631
2249,37,37,99.99248331149631
2250,18,18,99.99248331149631
2251,20,20,99.99248331149631
2252,27,27,99.99248331149631
2253,45,-1,99.79519748069741
2254,7,7,99.99246091271331
2255,42,42,99.99246091271331
2256,45,-1,99.79519748069741
2257,23,23,99.99248331149631
2258,36,-1,99.79519748069741
2259,34,34,99.99248331149631
2260,26,26,99.99248331149631
2261,28,28,99.99248331149631
2262,37,-1,99.79519748069741
2263,46,-1,99.79519748069741
2264,43,-1,99.79519748069741
2265,34,34,99.99248331149631
2266,5,5,99.99248331149631
2267,32,32,99.99246091271331
2268,41,41,99.99248331149631
2269,24,24,99.99248331149631
2270,0,0,99.99248331149631
2271,4,4,99.99248331149631
2272,44,44,99.99246091271331
2273,50,-1,98.47975248485278
2274,17,17,99.99248331149631
2275,31,31,99.99248331149631
2276,21,21,99.99248331149631
2277,39,39,99.99248331149631
2278,5,-1,99.11381585237794
2279,33,33,99.99248331149631
2280,26,26,99.99248331149631
2281,22,22,99.99248331149631
2282,50,-1,93.47074603322429
2283,50,-1,99.795175155573
2284,35,-1,99.79519748069741
2285,31,31,99.99248331149631
2286,16,16,99.99248331149631
2287,15,15,99.99248331149631
2288,26,26,99.99246091271331
2289,28,28,99.99248331149631
2290,33,33,99.99246091271331
2291,40,40,99.99248331149631
2292,21,21,99.99248331149631
2293,48,48,99.99248331149631
2294,29,29,99.99248331149631
2295,50,-1,99.79519748069741
2296,35,35,99.99248331149631
2297,45,45,99.99246091271331
2298,45,-1,99.59637600263355
2299,32,32,99.99246091271331
2300,36,-1,99.79519748069741
2301,3,3,99.99248331149631
2302,18,-1,99.79519748069741
2303,6,6,99.99248331149631
2304,49,-1,99.79519748069741
2305,17,17,99.99248331149631
2306,38,38,99.99248331149631
2307,23,23,99.99248331149631
2308,20,20,99.99248331149631
2309,17,17,99.99248331149631
2310,25,25,99.99248331149631
2311,18,-1,99.79519748069741
2312,35,35,99.99248331149631
2313,45,45,99.99246091271331
2314,38,38,99.99248331149631
2315,15,15,99.99248331149631
2316,24,24,99.99246091271331
2317,35,35,99.99246091271331
2318,37,37,99.99246091271331
2319,13,13,99.99246091271331
2320,39,39,99.99248331149631
2321,26,26,99.99248331149631
2322,43,43,99.99248331149631
2323,41,-1,99.5963982535343
2324,16,16,99.99248331149631
2325,11,-1,93.47074603322429
2326,9,9,99.99246091271331
2327,41,-1,99.79519748069741
2328,14,14,99.99248331149631
2329,40,40,99.99248331149631
2330,40,-1,98.47975248485278
2331,8,8,99.99248331149631
2332,44,44,99.99246091271331
2333,21,-1,96.65988136897982
2334,50,50,99.99246091271331
2335,15,15,99.99248331149631
2336,33,-1,99.79519748069741
2337,12,12,99.99248331149631
2338,30,30,99.99248331149631
2339,18,18,99.99248331149631
2340,43,43,99.99246091271331
2341,3,3,99.99248331149631
2342,20,20,99.99248331149631
2343,28,28,99.99248331149631
2344,40,40,99.99248331149631
2345,12,12,99.99248331149631
2346,40,40,99.99248331149631
2347,44,44,99.99246091271331
2348,31,-1,99.11379378165407
2349,41,-1,98.47977431885104
2350,50,50,99.99246091271331
2351,26,-1,99.795175155573
2352,40,40,99.99248331149631
2353,41,41,99.99248331149631
2354,37,-1,99.79519748069741
2355,33,33,99.99248331149631
2356,50,-1,99.79519748069741
2357,35,-1,99.79519748069741
2358,8,8,99.99248331149631
2359,24,24,99.99248331149631
2360,15,15,99.99248331149631
2361,32,32,99.99248331149631
2362,48,48,99.99248331149631
2363,36,36,99.99248331149631
2364,23,23,99.99246091271331
2365,16,16,99.99248331149631
2366,29,29,99.99248331149631
2367,18,18,99.99248331149631
2368,22,22,99.99248331149631
2369,48,48,99.99246091271331
2370,18,18,99.99246091271331
2371,23,23,99.99248331149631
2372,31,-1,99.79519748069741
2373,37,-1,98.47977431885104
2374,48,48,99.99246091271331
2375,28,28,99.99248331149631
2376,19,19,99.99246091271331
2377,15,15,99.99248331149631
2378,32,32,99.99248331149631
2379,20,20,99.99248331149631
2380,39,-1,99.79519748069741
2381,41,41,99.99248331149631
2382,24,-1,99.79519748069741
2383,29,-1,99.11381585237794
2384,43,43,99.99246091271331
2385,18,-1,99.795175155573
2386,22,22,99.99248331149631
2387,40,40,99.99246091271331
2388,35,35,99.99248331149631
2389,21,21,99.99246091271331
2390,14,14,99.99246091271331
2391,19,19,99.99246091271331
2392,20,20,99.99248331149631
2393,40,40,99.99246091271331
2394,34,34,99.99246091271331
2395,26,26,99.99248331149631
2396,50,-1,99.795175155573
2397,21,21,99.99248331149631
2398,46,46,99.99246091271331
2399,50,-1,99.11379378165407
2400,5,5,99.99248331149631
2401,19,19,99.99248331149631
2402,31,-1,99.79519748069741
2403,37,37,99.99248331149631
2404,40,40,99.99248331149631
2405,46,-1,99.79519748069741
2406,50,-1,99.79519748069741
2407,40,-1,95.03566700841675
2408,27,27,99.99248331149631
2409,47,47,99.99248331149631
2410,26,26,99.99248331149631
2411,38,38,99.99246091271331
2412,37,37,99.99248331149631
2413,34,34,99.99248331149631
2414,22,22,99.99246091271331
2415,45,-1,99.11379378165407
2416,22,22,99.99248331149631
2417,14,14,99.99248331149631
2418,16,16,99.99248331149631
2419,17,17,99.99248331149631
2420,18,18,99.99248331149631
2421,27,27,99.99248331149631
2422,25,25,99.99248331149631
2423,42,42,99.99248331149631
2424,11,11,99.99246091271331
2425,2,2,99.99248331149631
2426,50,-1,99.79519748069741
2427,38,38,99.99246091271331
2428,29,29,99.99248331149631
2429,21,21,99.99246091271331
2430,24,24,99.99248331149631
2431,2,2,99.99248331149631
2432,5,5,99.99248331149631
2433,36,36,99.99248331149631
2434,22,22,99.99246091271331
2435,43,43,99.99248331149631
2436,35,-1,99.79519748069741
2437,35,35,99.99248331149631
2438,19,19,99.99248331149631
2439,11,11,99.99248331149631
2440,50,-1,99.11381585237794
2441,3,-1,96.65988136897982
2442,36,36,99.99248331149631
2443,36,-1,99.79519748069741
2444,17,17,99.99248331149631
2445,29,29,99.99248331149631
2446,50,50,99.99246091271331
2447,50,-1,99.795175155573
2448,17,17,99.99248331149631
2449,45,-1,99.79519748069741
2450,13,13,99.99248331149631
2451,32,-1,99.795175155573
2452,50,-1,99.79519748069741
2453,11,11,99.99246091271331
